General,Payoff,Discount_Factor,Learning Rate,Difficulty,Value,Golds,Epochs
E-Greedy,Q-Learning,0.1,0.1,Hard,0.084,1,25000
E-Greedy,Q-Learning,0.1,0.9,Hard,0.112,1,25000
E-Greedy,Q-Learning,0.9,0.1,Hard,0.048,1,25000
E-Greedy,Q-Learning,0.9,0.9,Hard,0.032,1,25000
E-Greedy,Q-Learning Coop,0.1,0.1,Hard,0.092,1,25000
E-Greedy,Q-Learning Coop,0.1,0.9,Hard,0.128,1,25000
E-Greedy,Q-Learning Coop,0.9,0.1,Hard,0.124,1,25000
E-Greedy,Q-Learning Coop,0.9,0.9,Hard,0.132,1,25000
E-Greedy,SARSA,0.1,0.1,Hard,0.136,1,25000
E-Greedy,SARSA,0.1,0.9,Hard,0.08,1,25000
E-Greedy,SARSA,0.9,0.1,Hard,0.108,1,25000
E-Greedy,SARSA,0.9,0.9,Hard,0.048,1,25000
E-Greedy,SARSA Coop,0.1,0.1,Hard,0.196,1,25000
E-Greedy,SARSA Coop,0.1,0.9,Hard,0.192,1,25000
E-Greedy,SARSA Coop,0.9,0.1,Hard,0.244,1,25000
E-Greedy,SARSA Coop,0.9,0.9,Hard,0.164,1,25000
Soft-max,Q-Learning,0.1,0.1,Hard,0.316,1,25000
Soft-max,Q-Learning,0.1,0.9,Hard,0.196,1,25000
Soft-max,Q-Learning,0.9,0.1,Hard,0.3,1,25000
Soft-max,Q-Learning,0.9,0.9,Hard,0.26,1,25000
Soft-max,Q-Learning Coop,0.1,0.1,Hard,0.116,1,25000
Soft-max,Q-Learning Coop,0.1,0.9,Hard,0.112,1,25000
Soft-max,Q-Learning Coop,0.9,0.1,Hard,0.18,1,25000
Soft-max,Q-Learning Coop,0.9,0.9,Hard,0.12,1,25000
Soft-max,SARSA,0.1,0.1,Hard,0.336,1,25000
Soft-max,SARSA,0.1,0.9,Hard,0.18,1,25000
Soft-max,SARSA,0.9,0.1,Hard,0.16,1,25000
Soft-max,SARSA,0.9,0.9,Hard,0.02,1,25000
Soft-max,SARSA Coop,0.1,0.1,Hard,0.124,1,25000
Soft-max,SARSA Coop,0.1,0.9,Hard,0.128,1,25000
Soft-max,SARSA Coop,0.9,0.1,Hard,0.16,1,25000
Soft-max,SARSA Coop,0.9,0.9,Hard,0.088,1,25000
E-Greedy,Q-Learning,0.1,0.1,Hard,2.26,4,5000
E-Greedy,Q-Learning,0.1,0.9,Hard,1.98,4,5000
E-Greedy,Q-Learning,0.9,0.1,Hard,4.3,4,5000
E-Greedy,Q-Learning,0.9,0.9,Hard,5.12,4,5000
E-Greedy,Q-Learning Coop,0.1,0.1,Hard,1.46,4,5000
E-Greedy,Q-Learning Coop,0.1,0.9,Hard,1.98,4,5000
E-Greedy,Q-Learning Coop,0.9,0.1,Hard,4.58,4,5000
E-Greedy,Q-Learning Coop,0.9,0.9,Hard,1.96,4,5000
E-Greedy,SARSA,0.1,0.1,Hard,1.92,4,5000
E-Greedy,SARSA,0.1,0.9,Hard,1.58,4,5000
E-Greedy,SARSA,0.9,0.1,Hard,1.44,4,5000
E-Greedy,SARSA,0.9,0.9,Hard,3.32,4,5000
E-Greedy,SARSA Coop,0.1,0.1,Hard,2.1,4,5000
E-Greedy,SARSA Coop,0.1,0.9,Hard,2.28,4,5000
E-Greedy,SARSA Coop,0.9,0.1,Hard,2.52,4,5000
E-Greedy,SARSA Coop,0.9,0.9,Hard,2.3,4,5000
Soft-max,Q-Learning,0.1,0.1,Hard,3.34,4,5000
Soft-max,Q-Learning,0.1,0.9,Hard,2.3,4,5000
Soft-max,Q-Learning,0.9,0.1,Hard,7.86,4,5000
Soft-max,Q-Learning,0.9,0.9,Hard,4.64,4,5000
Soft-max,Q-Learning Coop,0.1,0.1,Hard,1.8,4,5000
Soft-max,Q-Learning Coop,0.1,0.9,Hard,1.94,4,5000
Soft-max,Q-Learning Coop,0.9,0.1,Hard,2.12,4,5000
Soft-max,Q-Learning Coop,0.9,0.9,Hard,2.06,4,5000
Soft-max,SARSA,0.1,0.1,Hard,3.22,4,5000
Soft-max,SARSA,0.1,0.9,Hard,2.3,4,5000
Soft-max,SARSA,0.9,0.1,Hard,3.12,4,5000
Soft-max,SARSA,0.9,0.9,Hard,1.12,4,5000
Soft-max,SARSA Coop,0.1,0.1,Hard,1.76,4,5000
